Month Name,insightTrafficSourceType,Rank traffic sources
Jan,EXT_URL,1
Jan,NO_LINK_OTHER,5
Jan,PLAYLIST,6
Jan,RELATED_VIDEO,4
Jan,SUBSCRIBER,3
Jan,YT_CHANNEL,7
Jan,YT_SEARCH,2
Feb,EXT_URL,1
Feb,NO_LINK_OTHER,5
Feb,PLAYLIST,6
Feb,RELATED_VIDEO,4
Feb,SUBSCRIBER,3
Feb,YT_CHANNEL,7
Feb,YT_SEARCH,2
Mar,EXT_URL,1
Mar,NO_LINK_OTHER,6
Mar,PLAYLIST,5
Mar,RELATED_VIDEO,3
Mar,SUBSCRIBER,4
Mar,YT_CHANNEL,7
Mar,YT_SEARCH,2
Apr,EXT_URL,1
Apr,NO_LINK_OTHER,7
Apr,PLAYLIST,5
Apr,RELATED_VIDEO,3
Apr,SUBSCRIBER,4
Apr,YT_CHANNEL,6
Apr,YT_SEARCH,2
May,EXT_URL,1
May,NO_LINK_OTHER,7
May,PLAYLIST,6
May,RELATED_VIDEO,3
May,SUBSCRIBER,4
May,YT_CHANNEL,5
May,YT_SEARCH,2
Jun,EXT_URL,1
Jun,NO_LINK_OTHER,4
Jun,PLAYLIST,7
Jun,RELATED_VIDEO,3
Jun,SUBSCRIBER,6
Jun,YT_CHANNEL,5
Jun,YT_SEARCH,2
Jul,EXT_URL,1
Jul,NO_LINK_OTHER,6
Jul,PLAYLIST,7
Jul,RELATED_VIDEO,4
Jul,SUBSCRIBER,3
Jul,YT_CHANNEL,5
Jul,YT_SEARCH,2
Aug,EXT_URL,1
Aug,NO_LINK_OTHER,6
Aug,PLAYLIST,7
Aug,RELATED_VIDEO,4
Aug,SUBSCRIBER,5
Aug,YT_CHANNEL,3
Aug,YT_SEARCH,2
Sep,EXT_URL,2
Sep,NO_LINK_OTHER,7
Sep,PLAYLIST,3
Sep,RELATED_VIDEO,4
Sep,SUBSCRIBER,5
Sep,YT_CHANNEL,6
Sep,YT_SEARCH,1
Oct,EXT_URL,2
Oct,NO_LINK_OTHER,6
Oct,PLAYLIST,5
Oct,RELATED_VIDEO,3
Oct,SUBSCRIBER,4
Oct,YT_CHANNEL,7
Oct,YT_SEARCH,1
Nov,EXT_URL,1
Nov,NOTIFICATION,7
Nov,PLAYLIST,5
Nov,RELATED_VIDEO,3
Nov,SUBSCRIBER,4
Nov,YT_CHANNEL,6
Nov,YT_SEARCH,2
Dec,EXT_URL,1
Dec,NO_LINK_OTHER,3
Dec,PLAYLIST,6
Dec,RELATED_VIDEO,4
Dec,SUBSCRIBER,5
Dec,YT_CHANNEL,7
Dec,YT_SEARCH,2
