Country,median income,mean income
Ireland,22200,51681
Slovenia,16224,34965
Estonia,13719,28621
Iceland,27919,55984
United Kingdom,21576,42835
Netherlands,26820,52833
United States,30960,60154
Spain,19242,37333
Denmark,27157,52580
Israel,17802,34023
Germany,25140,46389
Belgium,26922,49587
Poland,13630,24921
Japan,21675,39113
France,24547,42992
Portugal,14053,24529
Switzerland,34608,60124
Czech Republic,15391,26722
Italy,20860,35397
New Zealand,23304,39397
Australia,31340,52063
Slovakia,14171,23508
Austria,29278,48295
Canada,29521,48403
Finland,25810,42127
Luxembourg,38516,62636
Sweden,26627,42816
Norway,36043,53643
South Korea,22176,32399
