source_id,target_id,Value,Target
Automotive Revenue,Total Revenue,8500000000,Total Revenue
Bitcoin profit,Operating profit,101000000,Operating profit
Cost of revenue,,8200000000,
Energy Gen & Storage,Total Revenue,494000000,Total Revenue
Gross Profit,Operating profit,594000000,Operating profit
Gross Profit,R&D Expenses,606000000,R&D Expenses
Gross Profit,Sales &Admin,1100000000,Sales &Admin
Regulatory Credits,Total Revenue,518000000,Total Revenue
Services / Other,Total Revenue,893000000,Total Revenue
Total Revenue,Cost of revenue,8200000000,Cost of revenue
Total Revenue,Gross Profit,2200000000,Gross Profit
